"x","y","z","id"
-1527780.809528,2970399.450056,636.44,"gcp_0001_00161"
-1526413.738628,2971682.810754,632.21,"gcp_0002_00161"
-1550227.857158,3011857.640129,787.61,"gcp_0003_00161"
-1547951.536901,3019123.717771,799.67,"gcp_0004_00161"
-1502709.506742,3043644.5746,536.85,"gcp_0005_00161"
-1500710.279949,3043458.933864,660.04,"gcp_0006_00161"
-1580136.492125,3031503.784247,640.38,"gcp_0007_00161"
-1567690.079089,3057357.661532,779.68,"gcp_0008_00161"
-1559657.327458,2982855.97254,728.64,"gcp_0009_00161"
-1580335.399922,2990360.552426,627.27,"gcp_0010_00161"
-1494073.639691,3017643.390267,690.41,"gcp_0011_00161"
-1505930.161883,3051046.859839,650.5,"gcp_0012_00161"
-1512374.224008,3006122.598854,701.6,"gcp_0014_00161"
-1520005.944592,2989997.547721,656.07,"gcp_0015_00161"
-1583874.048157,3004462.686168,740.87,"gcp_0016_00161"
-1578856.746722,3020123.376242,631.5,"gcp_0017_00161"
-1540864.064739,3055064.974935,1347.93,"gcp_0018_00161"
-1555048.679541,3031616.325117,958.23,"gcp_0019_00161"
-1500843.243731,2978150.873671,1445.93,"gcp_0020_00161"
-1508153.947816,2964113.764341,655.8,"gcp_0021_00161"
-1545149.080178,2993966.110427,777.47,"gcp_0022_00161"
-1537280.564597,3029064.107662,744.77,"gcp_0023_00161"
-1484449.617487,3040799.91055,797.62,"gcp_0024_00161"
-1462800.754318,3037745.506502,1431.83,"gcp_0025_00161"
-1484628.415418,3010030.285514,698.89,"gcp_0026_00161"
-1472004.408665,2979968.025444,704.04,"gcp_0027_00161"
-1475601.984955,2984810.887266,584.04,"gcp_0028_00161"
