"ID","x","y","z","Creator","Date"
"gcp_0001",-1527780.809528,2970399.450056,636.44,"EricJensen",1603132058.70119
"gcp_0002",-1526413.738628,2971682.810754,632.21,"EricJensen",1603132058.98821
"gcp_0003",-1550227.857158,3011857.640129,787.61,"EricJensen",1603132059.28432
"gcp_0004",-1547951.536901,3019123.717771,799.67,"EricJensen",1603132059.58062
"gcp_0005",-1502709.506742,3043644.5746,536.85,"EricJensen",1603132059.86292
"gcp_0006",-1500710.279949,3043458.933864,660.04,"EricJensen",1603132060.15427
"gcp_0007",-1580136.492125,3031503.784247,640.38,"EricJensen",1603132060.43271
"gcp_0008",-1567690.079089,3057357.661532,779.68,"EricJensen",1603132060.72433
"gcp_0009",-1559657.327458,2982855.97254,728.64,"EricJensen",1603132061.00887
"gcp_0010",-1580335.399922,2990360.552426,627.27,"EricJensen",1603132061.29196
"gcp_0011",-1494073.639691,3017643.390267,690.41,"EricJensen",1603132061.58035
"gcp_0012",-1505930.161883,3051046.859839,650.5,"EricJensen",1603132061.87049
"gcp_0014",-1512374.224008,3006122.598854,701.6,"EricJensen",1603132062.40702
"gcp_0015",-1520005.944592,2989997.547721,656.07,"EricJensen",1603132062.68987
"gcp_0016",-1583874.048157,3004462.686168,740.87,"EricJensen",1603132062.97697
"gcp_0017",-1578856.746722,3020123.376242,631.5,"EricJensen",1603132063.2478
"gcp_0018",-1540864.064739,3055064.974935,1347.93,"EricJensen",1603132063.52868
"gcp_0019",-1555048.679541,3031616.325117,958.23,"EricJensen",1603132063.81024
"gcp_0020",-1500843.243731,2978150.873671,1445.93,"EricJensen",1603132064.13452
"gcp_0021",-1508153.947816,2964113.764341,655.8,"EricJensen",1603132064.4124
"gcp_0022",-1545149.080178,2993966.110427,777.47,"EricJensen",1603132064.69074
"gcp_0023",-1537280.564597,3029064.107662,744.77,"EricJensen",1603132064.97678
"gcp_0024",-1484449.617487,3040799.91055,797.62,"EricJensen",1603132065.27219
"gcp_0025",-1462800.754318,3037745.506502,1431.83,"EricJensen",1603132065.56454
"gcp_0026",-1484628.415418,3010030.285514,698.89,"EricJensen",1603132065.85048
"gcp_0027",-1472004.408665,2979968.025444,704.04,"EricJensen",1603132066.14659
"gcp_0028",-1475601.984955,2984810.887266,584.04,"EricJensen",1603132066.43229
